Frequency (Hz)	Level (dB)
767.120361	-89.644020
767.793274	-89.617393
768.466187	-90.489433
769.139099	-89.982796
769.812012	-89.814316
770.484924	-89.540451
771.157837	-87.667694
771.830750	-85.665123
772.503662	-84.260735
773.176575	-85.838203
773.849487	-87.268959
774.522400	-87.033615
775.195312	-88.554382
775.868225	-89.778786
776.541138	-91.387344
777.214050	-91.019417
777.886963	-90.427238
778.559875	-90.425980
779.232788	-90.567413
779.905701	-89.354752
780.578613	-90.568176
781.251526	-91.285545
781.924438	-91.524483
782.597351	-91.652832
783.270264	-91.949257
783.943176	-92.110100
784.616089	-92.270302
785.289001	-92.382782
785.961914	-93.208145
786.634827	-93.710968
787.307739	-92.959747
787.980652	-89.079933
788.653564	-88.227066
789.326477	-90.569244
789.999390	-90.200050
790.672302	-87.888779
791.345215	-88.846413
792.018127	-90.069763
792.691040	-90.582352
793.363953	-90.612274
794.036865	-87.389877
794.709778	-83.960274
795.382690	-86.986084
796.055603	-88.890831
796.728516	-87.503952
797.401428	-83.310577
798.074341	-70.424492
798.747253	-65.983292
799.420166	-72.078537
800.093079	-83.589600
800.765991	-83.126602
801.438904	-82.665634
802.111816	-80.589607
802.784729	-77.199493
803.457642	-81.869919
804.130554	-85.953079
804.803467	-84.113304
805.476379	-85.011276
806.149292	-85.418289
806.822205	-83.572906
807.495117	-87.495438
808.168030	-86.280510
808.840942	-80.252533
809.513855	-81.551620
810.186768	-85.925308
810.859680	-83.043587
811.532593	-81.023727
812.205505	-84.812515
812.878418	-86.297005
813.551331	-87.419243
814.224243	-89.440697
814.897156	-88.738029
815.570068	-87.941734
816.242981	-87.286308
816.915894	-86.193253
817.588806	-86.160332
818.261719	-86.418434
818.934631	-85.879059
819.607544	-86.368317
820.280457	-84.662422
820.953369	-78.410240
821.626282	-79.474792
822.299194	-84.666756
822.972107	-86.693741
823.645020	-86.951187
824.317932	-88.549309
824.990845	-89.642876
825.663757	-89.918953
826.336670	-91.420921
827.009583	-92.107613
827.682495	-91.837929
828.355408	-92.170654
829.028320	-92.463631
829.701233	-91.548355
830.374146	-90.734077
831.047058	-90.449409
831.719971	-90.528404
832.392883	-90.702766
833.065796	-90.416634
833.738708	-89.214699
834.411621	-89.834846
835.084534	-90.485519
835.757446	-89.523750
836.430359	-88.266960
837.103271	-87.897530
837.776184	-89.801735
838.449097	-90.571922
839.122009	-89.892563
839.794922	-88.383110
840.467834	-87.364876
841.140747	-85.037247
841.813660	-84.524757
842.486572	-86.966705
843.159485	-87.168236
843.832397	-87.406006
844.505310	-86.772003
845.178223	-86.447945
845.851135	-86.640572
846.524048	-86.749222
847.196960	-86.909554
847.869873	-86.675865
848.542786	-86.973167
849.215698	-87.818459
849.888611	-87.879456
850.561523	-88.262253
851.234436	-88.855598
851.907349	-88.488350
